证券代码,证券简称,转债简称,正股代码,赎回触发计算最大时间区间,赎回触发计算时间区间,赎回触发比例,条件赎回起始日期,条件赎回截止日期,今天日期与赎回截止日较小者,赎回条款
113595.SH,ST花王,花王转债,603007.SH,30,15,130,2021/1/27,2026/7/20,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债：A、在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×T/365，其中：IA为当期应计利息；B为本次发行的可转债持有人持有的将赎回的可转债票面总金额；i为可转债当年票面利率；T为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113596.SH,城地香江,城地转债,603887.SH,30,15,130,2021/2/4,2026/7/27,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在本次发行的可转换公司债券转股期内，如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在转股价格调整前的交易日按调整前的转股价格和收盘价格计算，转股价格调整后的交易日按调整后的转股价格和收盘价格计算。"
113597.SH,佳力图,佳力转债,603912.SH,30,15,130,2021/2/5,2026/7/29,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格高于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365。IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113598.SH,法兰泰克,法兰转债,603966.SH,30,15,130,2021/2/8,2026/7/30,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
113599.SH,嘉友国际,嘉友转债,603871.SH,30,15,130,2021/2/18,2026/8/4,2021/11/2,"在本次发行的可转换公司债券转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司董事会有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价计算。"
113600.SH,深圳新星,新星转债,603978.SH,30,15,130,2021/2/19,2026/8/12,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。（2）当本次发行的可转换公司债券未转股余额不足3,000万元。当期应计利息的计算公式为：IA=B×i×t÷365，其中：IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
113601.SH,塞力医疗,塞力转债,603716.SH,30,15,130,2021/3/1,2026/8/20,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整前的交易日按调整前的转股价格和收盘价计算，转股价格调整后的交易日按调整后的转股价格和收盘价格计算。"
113602.SH,景旺电子,景20转债,603228.SH,30,15,130,2021/3/1,2026/8/23,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%)；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
113603.SH,东方电缆,东缆转债,603606.SH,30,15,130,2021/3/30,2026/9/23,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司股票在任何连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113604.SH,多伦科技,多伦转债,603528.SH,30,15,130,2021/4/19,2026/10/12,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：1）在本次发行的可转债转股期内，如果公司股票在任意连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含）；2）当本次发行的可转债未转股余额不足人民币3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365，IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述连续30个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
113605.SH,大参林,大参转债,603233.SH,30,15,130,2021/4/28,2026/10/21,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的将被赎回的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113606.SH,荣泰健康,荣泰转债,603579.SH,30,15,130,2021/5/6,2026/10/29,2021/11/2,"在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。"
113607.SH,伟明环保,伟20转债,603568.SH,30,20,130,2021/5/6,2026/11/1,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债：（1）在转股期内，如果公司股票在任何连续三十个交易日中至少二十个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113608.SH,威派格,威派转债,603956.SH,30,15,130,2021/5/13,2026/11/8,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：A、在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
113609.SH,永安行,永安转债,603776.SH,30,15,130,2021/5/31,2026/11/23,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：1）在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转债未转股余额不足3,000万元时。当期利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
113610.SH,灵康药业,灵康转债,603669.SH,30,15,130,2021/6/7,2026/11/30,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：1）在转股期内，如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113614.SH,健友股份,健20转债,603707.SH,30,15,130,2021/6/23,2026/12/16,2021/11/2,"在本次可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），公司有权按照本次可转债面值加当期应计利息的价格赎回全部或部分未转股的本次可转债。本次可转债的赎回期与转股期相同，即发行结束之日满六个月后的第一个交易日起至本次可转债到期日止。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次可转债持有人持有的本次可转债票面总金额；i：指本次可转债当年票面利率；t：指计息天数，即从上一个计息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整日前的交易日按调整前的转股价格和收盘价格计算，调整日及之后的交易日按调整后的转股价格和收盘价格计算。此外，当本次可转债未转股余额不足人民币3,000万元时，公司有权决定以面值加当期应计利息的价格赎回全部未转股的本次可转债。"
113615.SH,金诚信,金诚转债,603979.SH,30,15,130,2021/6/29,2026/12/22,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
113616.SH,韦尔股份,韦尔转债,603501.SH,30,15,130,2021/7/5,2026/12/27,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。（2）当本次发行的可转换公司债券未转股的票面总金额不足人民币3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365其中：IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，在调整后的交易日按调整后的转股价格和收盘价计算。"
113618.SH,美诺华,美诺转债,603538.SH,30,15,130,2021/7/20,2027/1/13,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述任意一种情形出现时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：a.在本次发行的可转换公司债券转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；b.当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B2×i×t/365IA：指当期应计利息；B2：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
113619.SH,世运电路,世运转债,603920.SH,30,15,130,2021/7/26,2027/1/19,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。本次可转债的赎回期与转股期相同，即自可转换公司债券发行结束之日起满六个月后的第一个交易日起至可转换公司债券到期日止。"
113620.SH,傲农生物,傲农转债,603363.SH,30,15,130,2021/9/16,2027/3/9,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
113621.SH,彤程新材,彤程转债,603650.SH,30,15,130,2021/8/2,2027/1/25,2021/11/2,"在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
113622.SH,杭叉集团,杭叉转债,603298.SH,30,15,130,2021/10/8,2027/3/24,2021/11/2,"①在本可转债转股期内，如果本公司股票任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%（含130%），本公司有权按照可转换公司债券面值加当期应计利息赎回价格赎回全部或部分未转股的可转债。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。②在本可转债转股期内，当本次发行的可转债未转股的票面金额少于3,000万元（含3,000万元）时，公司有权按可转换公司债券面值加当期应计利息赎回全部或部分未转股的可转换公司债券。③当期应计利息的计算公式为:IA=B×i×t/365;IA:指当期应计利息;B:指本次发行的可转债持有人持有的将赎回的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。"
113623.SH,新凤鸣,凤21转债,603225.SH,30,15,130,2021/10/14,2027/4/7,2021/11/2,"在本次发行可转换公司债券的转股期内，如果本公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转换公司债券未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
118000.SH,嘉元科技,嘉元转债,688388.SH,30,15,130,2021/9/1,2027/2/22,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债：A、在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365，其中：IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123002.SZ,节能国祯,国祯转债,300388.SZ,30,15,130,2018/5/30,2023/11/24,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值上浮6%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。"
123004.SZ,节能铁汉,铁汉转债,300197.SZ,30,15,130,2018/6/22,2023/12/18,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值上浮至6%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债：A、在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转债未转股余额不足3,000万元时。"
123010.SZ,博世科,博世转债,300422.SZ,30,15,130,2019/1/11,2024/7/5,2021/11/2,"①在本次发行的可转债转股期内，如果公司A股股票在任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%（含130%），公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在前述30个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。②在本次发行的可转债转股期内，当本次发行的可转债未转股的余额不足3,000万元（含）时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。"
123011.SZ,德尔股份,德尔转债,300473.SZ,30,15,130,2019/1/24,2024/7/18,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转换公司债券未转股余额不足3,000万元时。"
123012.SZ,万顺新材,万顺转债,300057.SZ,30,15,130,2019/1/28,2024/7/20,2021/11/2,"在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转债未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的本次可转债。"
123013.SZ,横河精密,横河转债,300539.SZ,30,15,130,2019/2/1,2024/7/26,2021/11/2,"在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转债未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。"
123014.SZ,凯发电气,凯发转债,300407.SZ,30,15,130,2019/2/11,2023/7/27,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365"
123015.SZ,蓝盾股份,蓝盾转债,300297.SZ,30,15,130,2019/2/18,2024/8/13,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130.00%（含130.00%）；②当本次发行的可转换公司债券未转股余额不足3,000.00万元时。"
123018.SZ,溢多利,溢利转债,300381.SZ,30,15,130,2019/6/26,2024/12/20,2021/11/2,"（1）到期赎回条款本次发行的可转债到期后五个交易日内，公司将以本次可转债票面面值上浮10%（含最后一期利息）的价格向投资者赎回全部未转股的可转换公司债券。（2）有条件赎回条款转股期内，当下述两种情形中任意一种情形出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②本次发行的可转换公司债券未转股余额不足人民币3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将被赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
123022.SZ,长信科技,长信转债,300088.SZ,30,15,130,2019/9/23,2025/3/18,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
