证券代码,证券简称,转债简称,正股代码,赎回触发计算最大时间区间,赎回触发计算时间区间,赎回触发比例,,条件赎回起始日期,条件赎回截止日期,今天日期与赎回截止日较小者,赎回条款
123008.SZ,康泰生物,康泰转债(退市),300601.SZ,30,15,130,41.29,2018/8/7,2024/2/1,2021/11/2,"（1）到期赎回条款本次发行的可转债到期后5个交易日内，发行人将按债券面值的106%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：A、在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转债未转股余额不足3,000万元时。"
123009.SZ,星源材质,星源转债(退市),300568.SZ,30,15,130,27.28,2018/9/13,2024/3/7,2021/11/2,"（1）到期赎回条款本次可转债到期后五个交易日内，公司将以本次可转债票面面值上浮6%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：（A）在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（B）当本次发行的可转债未转股余额不足3,000万元时。"
123016.SZ,洲明科技,洲明转债(退市),300232.SZ,30,15,130,11.47,2019/5/13,2024/11/7,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：A．在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；B．当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B2*i*t/365。IA：指当期应计利息；B2：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123017.SZ,寒锐钴业,寒锐转债(退市),300618.SZ,30,15,130,63.21,2019/5/27,2024/11/20,2021/11/2,"在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转债未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的本次可转债。"
123019.SZ,中来股份,中来转债(退市),300393.SZ,30,15,130,12.55,2019/9/2,2025/2/25,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B*i*t/365。其中：IA为当期应计利息；B为本次发行的可转债持有人持有的将赎回的可转债票面总金额；i为可转债当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123020.SZ,富祥药业,富祥转债(退市),300497.SZ,30,15,130,17.46,2019/9/9,2025/3/1,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。"
123021.SZ,万达信息,万信转2(退市),300168.SZ,30,15,130,13.21,2019/9/9,2025/3/3,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
123026.SZ,中环环保,中环转债(退市),300692.SZ,30,15,130,12.22,2019/12/16,2024/6/9,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后五个交易日内，公司将以本次可转换公司债券票面面值的106%（含最后一期利息）的价格赎回全部未转股的可转换公司债券。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含）；2）当本次发行的可转换公司债券未转股余额不足5,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123030.SZ,九洲集团,九洲转债(退市),300040.SZ,30,15,130,5.7,2020/2/27,2025/8/19,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365。IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123032.SZ,万里马,万里转债(退市),300591.SZ,30,15,130,6.3,2020/4/17,2025/10/10,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123033.SZ,金力永磁,金力转债(退市),300748.SZ,30,20,130,33.83,2020/5/7,2025/10/31,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有二十个交易日的收盘价格不低于当期转股价格的130%（含130%）；若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
123036.SZ,先导智能,先导转债(退市),300450.SZ,30,15,130,46.2,2020/6/17,2025/12/10,2021/11/2,"在本次可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算；②当本次发行的可转换公司债券未转股余额不足3,000万元人民币时。上述当期应计利息的计算公式为：IA=B×i×t÷365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，首个付息日前，指从计息起始日起至本计息年度赎回日止的实际日历天数（算头不算尾）；首个付息日后，指从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。本次可转债的赎回期与转股期相同，即发行结束之日满六个月后的第一个交易日起至本次可转债到期日止。"
123037.SZ,新莱应材,新莱转债(退市),300260.SZ,30,15,130,20.77,2020/6/29,2025/12/18,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
123040.SZ,乐普医疗,乐普转债(退市),300003.SZ,30,15,130,44.1,2020/7/9,2025/1/2,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：（1）在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA＝B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
123041.SZ,东方财富,东财转2(退市),300059.SZ,30,15,130,24.64,2020/7/17,2026/1/12,2021/11/2,"①在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），公司有权按照本次可转债面值加当期应计利息的价格赎回全部或部分未转股的本次可转债；②在本次发行的可转债转股期内，当本次可转债未转股余额不足人民币3,000万元时，公司有权决定以面值加当期应计利息的价格赎回全部未转股的本次可转债。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次可转债持有人持有的本次可转债票面总金额；i：指本次可转债当年票面利率；t：指计息天数，即从上一个计息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。本次可转债的赎回期与转股期相同，即发行结束之日满六个月后的第一个交易日起至本次可转债到期日止。若在前述三十个交易日内发生过转股价格调整的情形，则在调整日前的交易日按调整前的转股价格和收盘价格计算，调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
123047.SZ,久吾高科,久吾转债(退市),300631.SZ,30,15,130,19.39,2020/9/28,2026/3/19,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
123051.SZ,今天国际,今天转债(退市),300532.SZ,30,15,130,10.63,2020/12/10,2026/6/3,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123055.SZ,晨光生物,晨光转债(退市),300138.SZ,30,15,130,17.8,2020/12/23,2026/6/16,2021/11/2,"在转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及以后的交易日按调整后的转股价格和收盘价格计算。"
123058.SZ,欣旺达,欣旺转债(退市),300207.SZ,30,15,130,25.95,2021/1/20,2026/7/13,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：A.在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。B.当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123066.SZ,赛意信息,赛意转债(退市),300687.SZ,30,15,130,26.22,2021/3/22,2026/9/15,2021/11/2,"转股期内，当下述两种情形中任意一种情形出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格超过当期转股价格的130%（含130%）；（2）本次发行的可转换公司债券未转股余额不足人民币3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
123068.SZ,弘信电子,弘信转债(退市),300657.SZ,30,15,130,16.88,2021/4/21,2026/10/14,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：（1）在本次发行的可转债转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B*i*t/365。IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
123079.SZ,运达股份,运达转债(退市),300772.SZ,30,15,130,17.59,2021/6/7,2026/11/30,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：A、在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。B、当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
123094.SZ,星源材质,星源转2(退市),300568.SZ,30,15,130,41.56,2021/7/26,2027/1/19,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算；②当本次发行的可转债未转股余额不足3,000万元人民币时。上述当期利息的计算公式为：IA=B×i×t/365。IA：指当期应计利息B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
127008.SZ,特发信息,特发转债(退市),000070.SZ,30,15,130,14.05,2019/5/22,2023/11/16,2021/11/2,"在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含），或本次发行的可转债未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。"
127009.SZ,冰轮环境,冰轮转债(退市),000811.SZ,30,15,130,7.6,2019/7/18,2025/1/14,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在换股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
127010.SZ,平安银行,平银转债(退市),000001.SZ,30,15,120,14.2,2019/7/25,2025/1/21,2021/11/2,"在本次发行可转债的转股期内，如果发行人A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的120%（含120%），经相关监管部门批准（如需），发行人有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起发行人转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，发行人有权按面值加当期应计利息的价格赎回全部未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
127023.SZ,华菱钢铁,华菱转2(退市),000932.SZ,30,10,125,8.23,2021/4/29,2026/10/22,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行可转换公司债券的转股期内，如果公司A股股票连续30个交易日中至少有10个交易日的收盘价格不低于当期转股价格的125%（含125%），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券；（2）当本次发行的可转换公司债券未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128010.SZ,蔚蓝锂芯,蔚蓝转债(退市),002245.SZ,30,15,130,10.85,2016/7/29,2022/1/21,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为。IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
128011.SZ,天汽模,汽模转债(退市),002510.SZ,30,15,130,7.19,2016/9/9,2022/3/2,2021/11/2,"（1）到期赎回条款:本次发行的可转债到期后5个交易日内，公司将按债券面值的106%（含最后一期利息）的价格赎回未转股的可转债。（2）有条件赎回条款:转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：A.在转股期内，如果公司股票在任何连续三十交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B.当本次发行的可转债未转股的票面金额少于3,000万元（含3,000万元）时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
128012.SZ,ST辉丰,辉丰转债(退市),002496.SZ,30,15,130,5.39,2016/10/28,2022/4/21,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照不低于债券面值103%（含当期利息）的赎回价格赎回全部或部分未转股的可转债：A.在本次发行的可转债转股期内，如果公司股票任意连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%）；B.当本次发行的可转债未转股余额不足3,000万元时。若在上述交易日内发生过转股价格调整的情形，则在转股价格调整前的交易日按调整前的转股价格和收盘价计算，在转股价格调整后的交易日按调整后的转股价格和收盘价计算。"
128016.SZ,东方雨虹,雨虹转债(退市),002271.SZ,30,15,130,41.54,2018/3/29,2023/9/25,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值上浮6%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
128019.SZ,久立特材,久立转2(退市),002318.SZ,30,20,130,7.01,2018/5/14,2023/11/8,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后五个交易日内，公司将按债券面值的106%（含最后一期利息）的价格赎回未转股的可转换公司债券。（2）有条件赎回条款①在本可转债转股期内，如果本公司股票任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%（含130%），有权按照可转换公司债券面值加当期应计利息赎回价格赎回全部或部分未转股的可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。②在本可转债转股期内，当本次发行的可转债未转股的票面金额少于3,000万元（含3,000万元）时，公司有权按可转换公司债券面值加当期应计利息赎回价格赎回全部或部分未转股的可转换公司债券。"
128020.SZ,水晶光电,水晶转债(退市),002273.SZ,30,15,130,15.45,2018/5/23,2023/11/16,2021/11/2,"在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转债未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。"
128024.SZ,宁波银行,宁行转债(退市),002142.SZ,30,15,130,17.26,2018/6/11,2023/12/5,2021/11/2,"（1）到期赎回条款在本次可转债期满后五个交易日内，发行人将以本次可转债面值的105%（含当期利息）的价格向投资者兑付全部未转股的可转债。（2）有条件赎回条款在本次发行可转债的转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），公司有权按照票面面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转债。"
128027.SZ,崇达技术,崇达转债(退市),002815.SZ,30,15,130,13.61,2018/6/21,2023/12/15,2021/11/2,"（1）到期赎回条款本次发行的可转债到期后5个交易日内，发行人将按债券面值的106%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：A、在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转债未转股余额不足3,000万元时。"
